number;department;section;name;full_name;char;type;doc_diff;status;date_pub;papers
;52;;20380.52.26188;Извещение об изменении;;Извещение об изменении;20380-681.00-514ВК,20380-681.00-514ВК2;;16.04.2021;А4 - 3
;52;;20380-681.00-514ВК;Трассы магистральных кабелей. Кабельный журнал. Часть 1.;а3;Кабельный журнал;;;16.04.2021;
;52;;20380-681.00-514ВК2;Трассы магистральных кабелей. Кабельный журнал. Часть 3.;а3;Кабельный журнал;;;16.04.2021;
;52;;20380.52.26194;Извещение об изменении;;Извещение об изменении;20380-686.04-511СБ,20380-686.04-513СБ,20380-686.04-514СБ,20380-686.04-515СБ,20380-686.04-516СБ;;12.04.2021;А4 - 2
;52;;20380-686.04-511СБ;Установка электрооборудования и прокладка кабелей с их креплениямми в Агрегатной рулевой машины. Сборочный чертеж;а2;Сборочный чертеж;;;12.04.2021;
;52;;20380-686.04-513СБ;Установка электрооборудования и прокладка кабелей с их креплениямми в Механической кладовой, Боцманской кладовой, Трюме №3, Трюме №4. Сборочный чертеж;а2;Сборочный чертеж;;;12.04.2021;
;52;;20380-686.04-514СБ;Установка электрооборудования и прокладка кабелей с их креплениямми в Коридоре №8. Сборочный чертеж;а2;Сборочный чертеж;;;12.04.2021;
;52;;20380-686.04-515СБ;Установка электрооборудования и прокладка кабелей с их креплениямми в Амбулатории, Лазарете, Санузле лазарета, Санитарной кладовой. Сборочный чертеж;а2;Сборочный чертеж;;;12.04.2021;
;52;;20380-686.04-516СБ;Установка электрооборудования и прокладка кабелей с их креплениямми в Тамбуре №16. Сборочный чертеж;а1;Сборочный чертеж;;;12.04.2021;
;52;;20380.52.26208;Извещение об изменении;;Извещение об изменении;20380-681.00-014Э7;;14.04.2021;А4 - 4
;52;;20380-681.00-014Э7;Трассы магистральных кабелей.;а5;Схема электрическая расположения;;;14.04.2021;
;52;;20380.52.26210;Извещение об изменении;;Извещение об изменении;20380-686.05-025,20380-686.05-025СБ,20380-686.05-501СБ,20380-686.05-502СБ,20380-686.05-503СБ,20380-686.05-504СБ;;12.05.2021;А4 - 4
;52;;20380-686.05-025;Установка электрооборудования и прокладка кабелей с их креплениями на палубе I яруса надстройки 28-40 шп., палубе и наружных стенах помещения СХПвыше палубы I яруса надстройки 28-36 шп., наружной стенки надстройки I и II яруса (ЛБ-ПрБ), лобовой стенки II ;а8;Спецификация;;;12.05.2021;
